sigla_tribunal,procedimento,ramo_justica,sigla_grau,uf_oj,municipio_oj,id_ultimo_oj,nome,mes_cnm1,mes_sent,casos_novos_2025,julgados_2025,prim_sent2025,suspensos_2025,dessobrestados_2025,cumprimento_meta1,distm2_a,julgm2_a,suspm2_a,cumprimento_meta2a,distm2_b,julgm2_b,suspm2_b,cumprimento_meta2b,distm2_c,julgm2_c,suspm2_c,cumprimento_meta2c,distm2_ant,julgm2_ant,suspm2_ant,cumprimento_meta2ant,mes_senth,IC2024,IC2025,cumprimento_meta3,quant_sent24,quant_conc24,quant_sent25,quant_conc25,distm4_a,julgm4_a,suspm4_a,cumprimento_meta4a,distm4_b,julgm4_b,suspm4_b,cumprimento_meta4b,distm6_a,julgm6_a,suspm6_a,cumprimento_meta6a,distm7_a,julgm7_a,suspm7_a,cumprimento_meta7a,distm7_b,julgm7_b,suspm7_b,cumprimento_meta7b,distm8_a,julgm8_a,suspm8_a,cumprimento_meta8a,distm8_b,julgm8_b,suspm8_b,cumprimento_meta8b,distm10_a,julgm10_a,suspm10_a,cumprimento_meta10a,distm10_b,julgm10_b,suspm10_b,cumprimento_meta10b
TJAP,Conhecimento não criminal,Justiça Estadual,G1,AP,AMAPÁ,6147,VARA ÚNICA DE AMAPÁ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,12,0,108.597285067873,15,11,0,73.3333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TJAP,Conhecimento não criminal,Justiça Estadual,G1,AP,CALCOENE,6151,VARA ÚNICA DE CALÇOENE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,9,0,138.461538461538,10,9,0,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TJAP,Conhecimento não criminal,Justiça Estadual,G1,AP,FERREIRA GOMES,6155,VARA ÚNICA DE FERREIRA GOMES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,8,2,136.752136752137,11,8,2,88.8888888888889,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TJAP,Conhecimento não criminal,Justiça Estadual,G1,AP,FERREIRA GOMES,87199,CEJUSC - FERREIRA GOMES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TJAP,Conhecimento não criminal,Justiça Estadual,G1,AP,LARANJAL DO JARI,6157,1ª [DESATIVADO]VARA DE LARANJAL DO JARI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,4,0,102.564102564103,5,4,0,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TJAP,Conhecimento não criminal,Justiça Estadual,G1,AP,LARANJAL DO JARI,6160,2ª [DESATIVADO]VARA DE LARANJAL DO JARI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,0,123.076923076923,4,4,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TJAP,Conhecimento não criminal,Justiça Estadual,G1,AP,LARANJAL DO JARI,11714,[DESATIVADO]VARA DO JUIZADO ESPECIAL CÍVEL  CRIMINAL E FAZENDA PÚBLICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TJAP,Conhecimento não criminal,Justiça Estadual,G1,AP,LARANJAL DO JARI,78603,3ª [DESATIVADO]VARA DE LARANJAL DO JARI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,0,153.846153846154,5,5,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TJAP,Conhecimento não criminal,Justiça Estadual,G1,AP,MACAPA,6162,1ª VARA CÍVEL E DE FAZENDA PÚBLICA DE MACAPÁ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,12,1,142.011834319527,17,15,1,93.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TJAP,Conhecimento não criminal,Justiça Estadual,G1,AP,MACAPA,6164,2ª VARA CÍVEL E DE FAZENDA PÚBLICA DE MACAPÁ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,28,1,138.957816377171,34,31,1,93.9393939393939,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TJAP,Conhecimento não criminal,Justiça Estadual,G1,AP,MACAPA,6165,3ª VARA CÍVEL E DE FAZENDA PÚBLICA DE MACAPÁ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,16,2,136.752136752137,21,17,2,89.4736842105263,,,,,,,,,,,,,,,,,,,,,,,,,,,,
